,artist,year,song,genre,duration_min,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
93,The Corrs,2000,Breathless,"pop, Folk/Acoustic",3.46,68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988
94,Joe,2000,I Wanna Know,"pop, R&B",4.94,65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086
95,Wheatus,1999,Teenage Dirtbag,set(),4.03,71,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661
96,Christina Aguilera,1999,Come on over Baby (All I Want Is You) - Radio Version,pop,3.39,64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903
97,Creed,1999,Higher,"pop, rock, metal",5.28,69,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827
98,Britney Spears,2000,Lucky,pop,3.44,65,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026
99,Nelly,2000,Country Grammar (Hot Shit),"hip hop, pop, R&B",4.78,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831
100,Shaggy,2000,It Wasn't Me,"hip hop, pop",3.79,76,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759
101,Destinys Child,2001,Survivor,"pop, R&B",4.23,70,0.514,0.911,1,-2.027,0,0.41,0.0559,0.0,0.775,0.619,161.109
102,Eminem,2000,Stan,hip hop,6.74,83,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063
103,Kylie Minogue,2001,Can't Get You out of My Head,"pop, Dance/Electronic",3.84,73,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007
104,Christina Aguilera,2001,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",pop,4.41,68,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49e-05,0.665,0.653,109.919
105,Nelly Furtado,2000,I'm Like A Bird,"hip hop, pop, latin",4.05,1,0.622,0.608,10,-5.085,1,0.036,0.138,5.38e-06,0.273,0.607,89.661
106,Shakira,2001,"Whenever, Wherever","pop, latin",3.27,74,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657
107,Jimmy Eat World,2001,The Middle,"rock, pop",2.76,78,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152
108,Train,2001,Drops of Jupiter (Tell Me),pop,4.33,77,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064
109,Geri Halliwell,2001,It's Raining Men,pop,4.24,62,0.637,0.929,5,-6.03,0,0.0447,0.063,0.00796,0.318,0.604,136.482
110,Blu Cantrell,2001,Hit 'Em Up Style (Oops!),"pop, R&B",4.18,71,0.667,0.773,5,-4.983,0,0.0586,0.201,0.0,0.404,0.667,89.976
111,Britney Spears,2001,I'm a Slave 4 U,pop,3.39,69,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027
112,Kylie Minogue,2001,In Your Eyes,"pop, Dance/Electronic",3.3,62,0.689,0.894,6,-6.342,0,0.0672,0.133,4.72e-05,0.0681,0.709,123.971
113,Missy Elliott,2001,One Minute Man (feat. Ludacris),"hip hop, pop, R&B",4.22,57,0.622,0.669,9,-8.419,1,0.329,0.0266,2.97e-06,0.152,0.57,93.839
114,Mary J. Blige,2001,Family Affair,"pop, R&B",4.43,76,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887
115,Faithless,2015,We Come 1 - Radio Edit,"pop, Dance/Electronic",3.71,53,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977
116,Limp Bizkit,2000,Rollin' (Air Raid Vehicle),metal,3.56,73,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306
117,Lasgo,2001,Something,pop,3.68,65,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93e-05,0.11,0.38,140.01
118,iio,2006,Rapture (feat.Nadia Ali),Dance/Electronic,4.23,54,0.661,0.855,8,-8.403,1,0.0377,0.0722,0.0185,0.199,0.601,123.943
119,Emma Bunton,2001,What Took You So Long?,pop,4.02,54,0.668,0.772,9,-5.4,0,0.0307,0.123,0.0,0.341,0.911,118.011
120,112,2001,It's Over Now,"hip hop, pop, R&B",4.42,57,0.66,0.71,1,-4.541,1,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988
121,Blue,2001,All Rise,pop,3.73,63,0.721,0.737,5,-2.734,0,0.0324,0.121,0.0,0.165,0.931,97.996
122,Jessica Simpson,2001,Irresistible,"pop, R&B",3.23,43,0.657,0.965,8,-2.771,0,0.0556,0.0285,8.84e-05,0.0552,0.669,93.013
123,Crazy Town,1999,Butterfly,"rock, metal",3.61,71,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502
124,Michael Jackson,2001,You Rock My World,"pop, R&B",5.63,64,0.854,0.673,4,-3.132,0,0.185,0.038,0.000227,0.255,0.955,95.0
125,Eve,2001,Let Me Blow Ya Mind,"hip hop, pop, R&B",3.84,73,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032
126,Jennifer Lopez,2001,Ain't It Funny,"hip hop, pop, R&B",4.1,0,0.707,0.869,5,-4.525,0,0.0481,0.104,0.000121,0.0813,0.621,99.825
127,Brandy,2002,Another Day in Paradise - R&B-Version,"hip hop, pop, R&B",4.53,50,0.7,0.787,6,-5.176,0,0.0327,0.00666,3.68e-05,0.0724,0.556,102.043
128,Nickelback,2001,How You Remind Me,"rock, metal",3.73,78,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094
129,Daft Punk,2001,One More Time,"hip hop, Dance/Electronic",5.34,76,0.613,0.697,2,-8.618,1,0.133,0.0194,0.0,0.332,0.476,122.746
130,Outkast,2000,Ms. Jackson,"hip hop, pop",4.51,82,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948
131,Fragma,2001,Everytime You Need Me - Radio Version,"pop, Dance/Electronic",3.56,50,0.682,0.917,11,-5.459,0,0.0318,0.15,0.0676,0.34,0.79,137.029
132,Mariah Carey,2001,Loverboy,"pop, R&B",3.82,42,0.721,0.79,1,-4.125,1,0.124,0.183,0.0,0.1,0.821,103.141
